station_id,n_events,mean_severity,pool_gap,min_duration
9040,101,9.080649504950495,7,5
9044,72,13.413769444444446,7,5
9048,61,16.772629508196722,7,5
9050,63,16.8303746031746,7,5
9063,87,11.01123448275862,7,5
9064,104,9.030886538461539,7,5
9065,91,11.353403296703297,7,5
9074,95,8.522554736842105,7,5
9078,78,12.783108974358974,7,5
9079,86,11.929747674418605,7,5
9093,52,19.393809615384615,7,5
9096,65,11.175664615384616,7,5
9097,53,17.30636603773585,7,5
9101,39,25.889107692307693,7,5
9118,76,14.123001315789473,7,5
9120,76,14.20143552631579,7,5
9124,90,31.941895555555554,7,5
9126,97,9.919849484536083,7,5
9142,91,9.905641758241758,7,5
9150,76,13.509296052631578,7,5
9002,83,12.392054216867471,7,7
9003,76,12.386632894736842,7,7
9004,91,10.310268131868133,7,7
9005,74,12.394909459459459,7,7
9011,99,9.836263636363636,7,7
9013,142,6.901328169014085,7,7
9018,103,8.607188349514562,7,7
9020,80,10.1969975,7,7
9021,89,10.33311797752809,7,7
9025,86,11.128243023255814,7,7
9027,85,10.864811764705882,7,7
9036,86,11.60366046511628,7,7
9038,55,18.948296363636366,7,7
9040,86,10.521652325581396,7,7
9044,66,14.58359696969697,7,7
9048,55,18.525496363636364,7,7
9050,56,18.854496428571426,7,7
9063,74,12.744805405405405,7,7
9064,93,10.014177419354839,7,7
9065,81,12.652575308641975,7,7
9074,83,9.658057831325301,7,7
9078,69,14.284056521739132,7,7
9079,80,12.78285,7,7
9093,44,22.797622727272724,7,7
9096,61,11.865142622950819,7,7
9097,44,20.585704545454544,7,7
9101,31,32.325416129032256,7,7
9118,70,15.170874285714286,7,7
9120,64,16.63723125,7,7
9124,84,33.901938095238094,7,7
9126,80,11.4823175,7,7
9142,79,11.315291139240507,7,7
9150,71,14.329057746478874,7,7
9002,70,14.304042857142857,7,10
9003,66,14.15243181818182,7,10
9004,74,12.258552702702703,7,10
9005,60,14.99148,7,10
9011,79,11.88003670886076,7,10
9013,105,8.56731142857143,7,10
9018,85,9.993376470588235,7,10
9020,68,11.795626470588235,7,10
9021,72,12.358370833333332,7,10
9025,77,12.261154545454547,7,10
9027,66,13.648166666666667,7,10
9036,64,14.7300859375,7,10
